Time,cpu_util_percent,mem_util_percent,net_in,net_out,disk_usage_percent_read,disk_usage_percent_write
0,0,10,510409184,6903649,0,78458368
60,14,11.66666667,702098625.7,11270137,0,18034090.67
120,33.2,13.33333333,783441818,15918544.5,446464,240230.4
180,10,13,785489296,18424946.33,0,102912
240,5.75,13,787360627.8,20581393,0,66867.2
300,5.4,13,795597344.8,22818795.5,0,88746.66667
360,6.2,13,829181434.5,25002802.5,120422.4,71270.4
420,7,13.16666667,839160412,27177374.83,0,1634201.6
480,14.5,13,840931927,29262249.17,0,94720
540,6.6,13,842691884.8,31271511,0,68710.4
600,5.6,13.33333333,844549111.8,33437225.83,11605.33333,69632
660,8.4,13,846346405.3,35479652.17,0,12591206.4
720,5.5,14,848149967,37566877.5,0,62549.33333
780,6.4,14,850183142.7,39701793,0,95232
840,3.6,14,851939218.5,41791218.5,0,100522.6667
900,7.8,14,853768140.5,44010096.17,0,83456
960,9.2,14,855677449.5,46544673.17,0,114995.2
1020,4.5,14,857603335.5,48961422.5,0,68010.66667
1080,8.6,14,859413147.5,51085472.17,0,80281.6
1140,6.2,14,861216969.8,53241540,0,80469.33333
1200,5.8,14,863705140.8,56663772,0,96665.6
1260,8.8,14,865577830,58959351.5,0,48896
1320,6.75,14,867429644.5,61152177.5,0,129331.2
1380,6,14,869258015.7,63351040.83,0,40106.66667
1440,7.4,14,871043533.3,65411661.5,0,149196.8
1500,5.5,14,872869632.7,67534872,0,48213.33333
1560,7.4,14,874706995,69751162,0,143155.2
1620,6.2,14,876566372.7,72009803.5,0,56934.4
1680,6.8,14,878414780.7,74176066.83,0,124501.3333
1740,5,14,880241942.5,76321742.67,0,50380.8
1800,6.6,14,882049608.7,78449848.5,0,132608
1860,5.6,14,883887705.5,80583216.5,0,57139.2
1920,8,14,885696510.5,82628973.83,0,115370.6667
1980,6.2,14,887499140.2,84805793.5,0,73830.4
2040,6.25,14,889301387.7,86982020.33,0,72704
2100,7.2,14,891097493.2,89136452.5,0,91852.8
2160,8.2,14,892944685.7,91357549,0,74666.66667
2220,9.2,14,894769647.2,93579752.83,0,73216
2280,5.6,14,896529737.8,95660399,0,59801.6
2340,6.5,14,898303267.7,97732767.67,0,67498.66667
2400,5.6,14,900156970.3,99917524.83,0,68915.2
2460,5.6,14,901969163,102059661.8,0,65621.33333
2520,6.4,14,903760008.8,104199678.3,0,64000
2580,5,14,905554695,106325579.3,0,70229.33333
2640,5.8,14,907351761.5,108458588.2,0,58368
2700,4.8,14,909168480.5,110600680.2,0,71850.66667
2760,7.6,14,910985628,112661570.7,0,67072
2820,7.2,14,912811085.5,114804947.8,0,83029.33333
2880,8.25,14,914577840.8,116913079.8,0,108851.2
2940,5.8,14,916468755.2,119242810.7,0,74649.6
3000,6.8,14,918436094.7,121653302.5,0,96426.66667
3060,7,14.16666667,920415412,124167753,0,69324.8
3120,8,14,922234355.2,126327745.3,0,109568
3180,5.6,14,923991815,128341533.7,0,54476.8
3240,7.2,14,925815417.8,130518253,0,116992
3300,6,14,927808435.5,133018946,0,70656
3360,6.5,14.16666667,929651889.5,135270927.7,0,123733.3333
3420,7.4,14,931449685,137466587.8,0,62259.2
3480,6.2,14,933276902,139712490,0,112810.6667
3540,6.6,14,935054240.3,141795970,0,60518.4
3600,6.25,14,936874608,143940919.8,0,156876.8
3660,7.8,14,938755462.5,146188015.5,0,81322.66667
3720,6.6,14,940601896.8,148399002,0,126361.6
3780,5.8,14,942379925.7,150532268.7,0,64853.33333
3840,4.75,14,944176604.8,152645399.5,0,121139.2
3900,8.6,14,946010607.3,154849036,0,103850.6667
3960,6.8,14,947844883.7,157027068.2,0,65740.8
4020,5.4,14,949741486.2,159321673.3,0,65450.66667
4080,5.8,14,951551825.2,161452147.8,0,58777.6
4140,6,14,953327930.2,163569377.3,0,109994.6667
4200,6.8,14,955170132,165770374.3,0,54784
4260,5.6,14.16666667,956994130,167934831,0,90521.6
4320,6.2,14,958803614.5,170064937,0,60842.66667
4380,4.25,14,960608195,172130834.3,0,70451.2
4440,6,14,962347770.2,174167515.5,0,58282.66667
4500,6.8,14,964156790.5,176317127.8,0,69939.2
4560,5.8,14,965994615,178515462.7,0,112810.6667
4620,6.4,14,967823583.3,180707282.8,0,77824
4680,8.25,14,969605806.7,182863658.2,0,79189.33333
4740,5.2,14,971411744.7,185006144.5,0,65433.6
4800,5.8,14,973262436.5,187253426,0,91648
4860,6.6,14,975069844.7,189391566,0,126464
4920,5,14,976900626.7,191565657.7,0,148275.2
4980,6.6,14,978704173.2,193711697.7,0,132096
5040,5,14,980480825.5,195851813.5,0,97689.6
5100,6.4,14,982329596.5,198049994,0,97706.66667
5160,7,14,984131851.5,200139251.8,0,83353.6
5220,7.25,14,985954749.8,202337625.5,0,136533.3333
5280,5.6,14,987761163.3,204507830.7,0,124416
5340,5,14,989510990.8,206577025.8,0,129962.6667
5400,5.8,14,991356083.5,208770873,0,61235.2
5460,7.25,14.16666667,993244031,211007908.2,0,140202.6667
5520,8.6,14,995052768.8,213161499.7,0,38092.8
5580,6,14,996852043.7,215294788.2,0,111001.6
5640,8,14,998679210,217470692,0,46933.33333
5700,6.25,14,1000550776,219761269.7,0,80793.6
5760,14.6,14.16666667,1002516694,222247346.2,0,53760
5820,7.2,14,1004471398,224609167.5,0,110284.8
5880,5.2,14,1006327146,226916686.5,0,54272
5940,4.75,14,1008134477,229089940.8,0,85504
6000,4.6,14,1010215310,231695902.3,0,66218.66667
6060,6.4,14.16666667,1012295752,234367956.8,0,120217.6
6120,6.4,14,1014209251,236697350,0,99072
6180,6.2,14,1016095445,238972791.7,0,43827.2
6240,6.25,14.5,1017966540,241205366.5,0,75468.8
6300,6.6,15,1019826391,243468982.3,0,98133.33333
6360,8,15,1021743280,245814681,0,80076.8
6420,5.8,15,1023731895,248271155,0,83882.66667
6480,8.8,15,1025562873,250488909.8,0,160153.6
6540,6.25,15,1027432912,252746751.2,0,81408
6600,9.8,15,1029352704,255031054.2,0,98611.2
6660,5.2,15,1031237567,257302494.7,0,56576
6720,7.6,15,1033133104,259556924.3,0,78950.4
6780,4.25,15,1034950529,261720343.7,0,112469.3333
6840,7,15,1036733615,263806005.2,0,65945.6
6900,6,15,1038642510,266108767.2,0,170393.6
6960,5.6,15,1040521123,268399049.2,0,61781.33333
7020,6.4,15,1042378901,270649454.5,0,113459.2
7080,6.75,15,1044244877,272897521.5,0,60842.66667
7140,5.4,15,1046040080,275078633.3,0,139161.6
7200,6.6,15,1047874476,277282787.5,0,70741.33333
7260,7,15,1049716241,279411065,0,169062.4
7320,6,15,1051550435,281591113.8,0,105386.6667
7380,7.4,15,1053364121,283767294.3,0,153088
7440,7.4,15,1055199626,286005686.8,0,103219.2
7500,4,15,1057034343,288245512.5,0,86186.66667
7560,7.6,15,1058886108,290523393.2,0,67993.6
7620,5.6,15,1060777474,292778288.5,0,65792
7680,6.2,15,1062527318,294777039.7,0,82841.6
7740,8.75,15,1064286513,296875069,0,70656
7800,5.6,15,1066149997,299093801.2,0,96563.2
7860,6.6,15,1067994628,301295068.8,0,61098.66667
7920,5,15,1069843824,303517057.7,0,83046.4
7980,6,15,1071693439,305717490.5,0,44373.33333
8040,6.8,15,1073476784,307862235.3,0,142131.2
8100,8,15,1075271887,309922473.5,0,69632
8160,5.2,15,1077130474,312085631.7,0,95573.33333
8220,9,15,1078930028,314243024.3,0,58675.2
8280,4.25,15,1080758730,316425590.5,0,102570.6667
8340,6.4,15,1082628860,318661617.2,0,67686.4
8400,6.6,15,1084455553,320824097.2,0,70570.66667
8460,8.8,15,1086324051,323048864.7,0,124108.8
8520,7.25,15,1088141734,325160797.5,0,94378.66667
8580,5.4,15,1089940228,327268270.2,0,106598.4
8640,7,15,1091723256,329426125,0,66218.66667
8700,4,15,1093599341,331704349,0,141619.2
8760,5.5,15,1095445564,333949500.7,0,63897.6
8820,8,15,1097298724,336165287.3,0,166656
8880,5.6,15,1099115370,338345144.3,0,61747.2
8940,7,15,1100882395,340480824.7,0,104618.6667
9000,5.5,15,1102735492,342683533.5,0,96563.2
9060,9,15,1104625079,344943723.8,0,148992
9120,5.2,15,1106478380,347169280.8,0,78438.4
9180,6.6,15,1108303854,349338662,0,71936
9240,6.5,15,1110159926,351532223.7,0,121651.2
9300,5,15,1111990917,353711788.7,0,73728
9360,8.2,15,1113846701,355903039.8,0,57753.6
9420,8.8,15,1115712494,358168679,0,74547.2
9480,7,15,1117546556,360372343.7,0,80469.33333
9540,6,15,1119402993,362603225.7,0,61952
9600,8.4,15,1121276207,364849651.7,0,97621.33333
9660,5.4,15,1123143412,367086287.8,0,54886.4
9720,5.2,15,1124950226,369180690.8,0,77141.33333
9780,6.25,15,1126792484,371320738,0,61849.6
9840,10.25,15,1128587925,373504546.3,0,65792
9900,7.2,15,1130453517,375769980.8,0,84377.6
9960,7.8,15,1132357420,378072279.8,0,79018.66667
10020,6.4,15,1134198867,380275714,0,66150.4
10080,6,15,1136005489,382458512.2,0,62259.2
10140,6,15,1137832229,384644827.3,0,76288
10200,6,15,1139653979,386775575.2,0,171622.4
10260,9.2,15,1141502950,389047794,0,71424
10320,5.75,15,1143383119,391296867.8,0,119910.4
10380,6.2,15,1145210061,393487018.7,0,64341.33333
10440,5.8,15,1147005196,395608855,0,92876.8
10500,7.8,15,1148868191,397826690.3,0,72021.33333
