Time,cpu_util_percent,mem_util_percent,net_in,net_out,disk_usage_percent
1603720800,18.14378376,87.35135306,33319037.5,85098539,0.003333389
1603720860,17.64616518,87.35564941,10404752,80960535,0.003333556
1603720920,17.97796256,87.35672388,4935205,65115577.5,0
1603720980,18.21216019,87.35650189,13794464.5,76536031,0
1603721040,17.7905905,87.35510508,29653685.5,69335863.5,0.001667056
1603721100,18.25420538,87.35691039,2134913.5,71296429,0
1603721160,17.47095901,87.3580989,1679757,71949815,0.005000333
1603721220,17.38133551,87.35837968,1572464,64278120,0.003333722
1603721280,17.79503988,87.35764377,1703975.5,70986878,0.001666639
1603721340,17.48132301,87.36088187,1257160.5,67734706.5,0.003333222
1603721400,17.66633532,87.36093357,8787985.5,68886063,0
1603721460,18.00218286,87.33360962,2036819,91518068.5,0.001666556
1603721520,18.98343768,87.33714726,2370844,112132525.5,0.001666917
1603721580,17.97556432,87.34157032,21834096.5,123168992.5,0
1603721640,17.29746913,87.34133921,2825943,142009346.5,0.001666639
1603721700,17.40901316,87.34415513,4484532,64578435,0
1603721760,17.41829048,87.33943355,7820407.5,72697698.5,0.001666722
1603721820,17.27189048,87.34060685,3664935,88904269,0.001666806
1603721880,17.09000115,87.34076041,1957003,56743519.5,0.003333333
1603721940,17.01806036,87.33891304,1143299,60430084,0.001666611
1603722000,17.63620896,87.34166864,9829264,77621373.5,0
1603722060,17.85064585,87.33591567,3056066.5,83013501,0.001666722
1603722120,17.92211345,87.33420159,1846027.5,66992784,0.003333056
1603722180,17.39731696,87.33443575,1802468.5,73074785,0
1603722240,17.54421763,87.33608394,1744002,70498735.5,0.001666694
1603722300,17.79841067,87.33559384,1565621.5,70207140.5,0.001666639
1603722360,17.48391549,87.33505154,1751113,71960360,0.005000167
1603722420,17.06090456,87.33501707,9752338.5,72795691.5,0.001666389
1603722480,17.25232208,87.33528822,1095611.5,59202503,0.001666861
1603722540,17.13841298,87.33672153,2404901,65027147,0
1603722600,18.87279877,87.33722632,30332927.5,79023284.5,0.001666861
1603722660,18.41074087,87.33786746,23443963.5,71940135.5,0.003333722
1603722720,18.38223343,87.34020848,6149880,85761025.5,0
1603722780,17.96959297,87.34476382,14829499.5,65984436.5,0.003333778
1603722840,17.4052128,87.3458317,14639135.5,71949622.5,0.003333333
1603722900,17.70764306,87.34746165,19311828.5,68745057.5,0.001666667
1603722960,17.22246892,87.3466183,1858364,64095935.5,0.001666389
1603723020,17.40547524,87.34686715,1601825,73028872,0.003334056
1603723080,17.33561354,87.35076412,2022976,73723960,0.003333167
1603723140,17.01503639,87.34873784,2459936.5,61420452,0.001666778
1603723200,17.77347369,87.35298199,4327543.5,66170754,0
1603723260,18.02114794,87.35410157,2640831.5,77111506,0.00166675
1603723320,17.98687709,87.3538071,1756051,64420625,0
1603723380,17.79544747,87.35623277,1332690.5,67541444,0
1603723440,17.42967367,87.3565252,3587403,70786821.5,0
1603723500,17.62572415,87.35664938,9433070.5,64922862.5,0.001666583
1603723560,17.39532583,87.3503688,2147599,75460411,0.001666694
1603723620,18.09357467,87.35226635,1020153.5,80412539.5,0
1603723680,17.60977788,87.34682863,1115736,92799947,0.001666694
1603723740,17.744618,87.34370659,1134974.5,68115942,0.001666417
1603723800,18.18214216,87.34412675,3495025.5,62872436.5,0.001666667
1603723860,17.59585108,87.34346737,52752424.5,84684847,0.001666944
1603723920,18.33979813,87.34429552,28390005,100554314.5,0.001666694
1603723980,17.85402879,87.34844895,43251309,95416789,0.003333
1603724040,17.99860493,87.34793807,81427521,88297005.5,0
1603724100,18.1909642,87.34960198,12173625.5,124829983.5,0.003333222
1603724160,17.87728221,87.34906981,3248693.5,102870523,0.003333222
1603724220,17.94689508,87.34889141,1056222,62051712.5,0
1603724280,18.02136346,87.34872669,2285361,61843547,0.003332778
1603724340,17.64411813,87.34745253,1465094.5,62032195,0.001666694
1603724400,18.29243453,87.34908248,31966095.5,83071879.5,0.003333945
1603724460,17.79036069,87.3467303,7117459.5,68896263.5,0.001666694
1603724520,18.29649128,87.3488615,6426423.5,66338943.5,0
1603724580,17.67591852,87.3505472,15283835.5,65349662.5,0.001666084
1603724640,17.42913786,87.35251673,36743105,62530182,0.001667306
1603724700,18.64990135,87.35204183,86557256,126592225,0
1603724760,17.46558956,87.35322729,9954440.5,108760883,0.003333333
1603724820,17.32703906,87.35346652,1546680,85632693,0.003333667
1603724880,18.14730592,87.35312086,2929167.5,59036268.5,0.001666861
1603724940,18.7264995,87.35162674,3361453,109993105.5,0.001666639
1603725000,17.88514875,87.35417202,1059358,100505916,0.001666583
1603725060,17.62142761,87.35529514,2812877,114312762.5,0.001666667
1603725120,19.29336833,87.35531339,3892384.5,107143826.5,0
1603725180,19.51343675,87.3558785,14584788,89766312,0.003333556
1603725240,18.29492955,87.35647706,1460692.5,106267454,0.001666722
1603725300,18.78413016,87.35779125,2683141.5,100735247,0.001666667
1603725360,18.57258225,87.35872685,3313123,99669396,0.0016665
1603725420,17.68491789,87.35957224,2328434.5,85771291,0.005000583
1603725480,17.07173793,87.35666458,7032141.5,67554622.5,0.003333889
1603725540,17.24133483,87.3555004,2757462,54785990.5,0.001665473
1603725600,17.6496813,87.35574469,3217370.5,64353881.5,0
1603725660,17.41288959,87.3548243,32751885,91200498.5,0
1603725720,18.29640943,87.35610657,46764902,88614029,0.003333389
1603725780,17.95157994,87.35727987,86958895.5,104896886.5,0.001666778
1603725840,18.17125683,87.35519884,2566000.5,116695489.5,0.001666111
1603725900,18.13648241,87.35689215,2168365.5,84670336.5,0.00166725
1603725960,17.10910301,87.35708727,2210673.5,60210138,0.003333444
1603726020,17.52323154,87.35938572,2756708,61541597,0.001666778
1603726080,17.19410663,87.35919212,1847106.5,58597832,0.001666056
1603726140,17.19470863,87.35828085,4682945.5,53039838,0
1603726200,17.70138386,87.36038113,24013169.5,78610299,0.003334056
1603726260,17.14783681,87.36061832,8275563.5,70798059,0.003333389
1603726320,17.23583451,87.36218897,2343052.5,52752087.5,0.004999167
1603726380,17.27753781,87.36217478,9586357,60250841.5,0
1603726440,17.67459404,87.36255794,17456836.5,57005571.5,0.001666861
1603726500,18.00722599,87.36387062,22495440.5,76118146.5,0.005000417
1603726560,17.50539282,87.36679297,2241790.5,66600737,0.001666611
1603726620,17.40852035,87.37034277,3468634.5,60383965.5,0
1603726680,17.3496761,87.37190126,3336189,59481002,0.003332722
1603726740,17.52368171,87.37040308,3188413,61213207.5,0.003333556
1603726800,18.166647,87.34586059,5268127,66462145.5,0
1603726860,17.6044381,87.34351501,4422887.5,79361013.5,0
1603726920,17.90264968,87.34350893,3992039,104077287.5,0.001666778
1603726980,17.32802667,87.34081262,2397825,110507931.5,0.001666444
1603727040,17.17439692,87.33800785,1423554,60301401,0
1603727100,17.32149836,87.34038131,1894890,64749748,0.001666639
1603727160,17.15500035,87.34831059,5134167,73839013.5,0.001666944
1603727220,17.14220412,87.34800446,4853098,56936349,0.001666639
1603727280,17.00938397,87.34855386,1365358.5,63369779,0.001666722
1603727340,16.74302765,87.34914279,2376170,52817073,0.001666556
1603727400,16.99829747,87.34979558,951725.5,57425355,0.001666639
1603727460,17.14413707,87.34985995,1475084,62253687,0.001666833
1603727520,18.07605339,87.34912708,1442964.5,63484400.5,0.001666667
1603727580,18.3775937,87.3452742,2471325.5,61294985.5,0.016663334
1603727640,18.20836512,87.31610591,2620761.5,60795300,0.003333611
1603727700,18.02186995,87.31812612,2188107,85461239.5,0.001666889
1603727760,17.37502277,87.3203232,1736925,64315089,0.0016665
1603727820,17.23108201,87.32065416,1125407,65549257.5,0.001666861
1603727880,17.02301013,87.32005763,1838920,58633179.5,0.001666694
1603727940,16.98885761,87.32144177,1155592.5,62349902,0
1603728000,18.16858603,87.32397538,212263162.5,97322801,0.0033335
1603728060,17.35509338,87.32177323,152792161,79837928.5,0.004999583
1603728120,16.72826719,87.32321413,15965330.5,53022294,0.001666861
1603728180,16.93834921,87.32430381,12430571.5,93888254,0.001666694
1603728240,16.99263547,87.32530884,15561788,58053687,0.001666667
1603728300,17.79280314,87.32650039,27266716.5,66216434.5,0
1603728360,17.10708149,87.32698288,3128616,61803581.5,0.003333056
1603728420,16.84934922,87.3263012,1440019.5,56745531.5,0
1603728480,16.73641124,87.32497991,2369766.5,56640752.5,0.001666611
1603728540,17.28362701,87.32371285,3358025,56751847,0.003333556
