sn,aid,id,cluster_id,tag,host_name,az,data_center,rack,machine,service_type,host_ip,state,error_count,created_time,update_time,status,rack_id,host_group_id,disabled_app_id,reserved,is_dpdk,xc_group,dh_id,cpu_model,data_ip,snic_ip,snic_data_ip,snic_host_name,aid,id,cluster_id,host_id,vcpus,memory,disk,vcpus_used,memory_used,disk_used,vcpus_reserved,vcpus_reserved_info,memory_reserved,disk_reserved,cpu_mode,cpualloc_ratio,run_vms,created_time,update_time,status,version,gpu_card,disk_count,gpu_card_ratio,gpu_card_used,disk_count_used,share_vms,share_vcpus,mix_mode,memory_ratio
"1","30064","5877","cluster-general-prod-bj02","","A01-R22-I11-66-1SDRXP2.JCLOUD.COM","prod_bj02","","MD6-G-06","general_2","kvm,hyper","10.211.11.66","Enable","2","2018-12-26 12:08:24","2020-07-14 22:16:46","1","820","603","","0","1","true","","","10.212.11.66","","","","30064","5877","cluster-general-prod-bj02","5877","80","393216","1945","60","163840","0","6","0,1,8,10,48,50","98304","100","set","1","6","2018-12-26 12:08:24","2021-02-01 10:57:21","1","496","0","0","1","0","0","0","0","0","1"
"2","30069","5888","cluster-general-prod-bj02","","A01-R22-I11-67-1SDHXP2.JCLOUD.COM","prod_bj02","","MD6-G-06","general_2","kvm,hyper","10.211.11.67","Enable","1","2018-12-26 12:08:41","2020-08-01 02:45:59","1","820","603","","0","1","true","","","10.212.11.67","","","","30069","5888","cluster-general-prod-bj02","5888","80","393216","1945","18","86016","0","6","0,1,8,10,48,50","98304","100","set","1","3","2018-12-26 12:08:41","2021-01-15 01:02:41","1","1207","0","0","1","0","0","0","0","0","1"
"3","30065","5878","cluster-general-prod-bj02","","A01-R22-I11-68-1SBQXP2.JCLOUD.COM","prod_bj02","","MD6-G-06","general_2","kvm,hyper","10.211.11.68","Enable","1","2018-12-26 12:08:24","2020-07-14 22:16:46","1","820","603","","0","1","true","","","10.212.11.68","","","","30065","5878","cluster-general-prod-bj02","5878","80","393216","1945","0","0","0","6","0,1,8,10,48,50","98304","100","set","1","0","2018-12-26 12:08:24","2020-12-03 19:39:00","1","100","0","0","1","0","0","0","0","0","1"
"4","30067","5885","cluster-general-prod-bj02","","A01-R22-I11-69-1P0LXP2.JCLOUD.COM","prod_bj02","","MD6-G-06","general_2","kvm,hyper","10.211.11.69","Enable","1","2018-12-26 12:08:37","2020-07-14 22:16:46","1","820","603","","0","1","true","","","10.212.11.69","","","","30067","5885","cluster-general-prod-bj02","5885","80","393216","1945","0","0","0","6","0,1,8,10,48,50","98304","100","set","1","0","2018-12-26 12:08:37","2021-01-15 01:52:59","1","180","0","0","1","0","0","0","0","0","1"
"5","30062","5874","cluster-general-prod-bj02","","A01-R22-I11-70-1P1HXP2.JCLOUD.COM","prod_bj02","","MD6-G-06","general_2","kvm,hyper","10.211.11.70","Enable","2","2018-12-26 12:08:23","2020-07-14 22:16:46","1","820","603","","0","1","true","","","10.212.11.70","","","","30062","5874","cluster-general-prod-bj02","5874","80","393216","1945","0","0","0","6","0,1,8,10,48,50","98304","100","set","1","0","2018-12-26 12:08:23","2021-01-15 05:59:55","1","136","0","0","1","0","0","0","0","0","1"
"6","30063","5875","cluster-general-prod-bj02","","A01-R22-I11-72-1NNMXP2.JCLOUD.COM","prod_bj02","","MD6-G-06","general_2","kvm,hyper","10.211.11.72","Enable","2","2018-12-26 12:08:23","2020-10-19 21:15:59","1","820","603","","0","1","true","","","10.212.11.72","","","","30063","5875","cluster-general-prod-bj02","5875","80","393216","1945","74","286720","0","6","0,1,8,10,48,50","98304","100","set","1","6","2018-12-26 12:08:23","2020-12-25 01:50:19","1","10610","0","0","1","0","0","0","0","0","1"
"7","30068","5887","cluster-general-prod-bj02","","A01-R22-I11-73-1RXMXP2.JCLOUD.COM","prod_bj02","","MD6-G-06","general_2","kvm,hyper","10.211.11.73","Enable","1","2018-12-26 12:08:39","2020-08-04 01:33:36","1","820","603","","0","1","true","","","10.212.11.73","","","","30068","5887","cluster-general-prod-bj02","5887","80","393216","1945","74","172032","0","6","0,1,8,10,48,50","98304","100","set","1","8","2018-12-26 12:08:39","2021-01-06 20:28:39","1","2600","0","0","1","0","0","0","0","0","1"
"8","30066","5883","cluster-general-prod-bj02","","A01-R22-I11-75-1RWQXP2.JCLOUD.COM","prod_bj02","","MD6-G-06","general_2","kvm,hyper","10.211.11.75","Enable","1","2018-12-26 12:08:36","2020-07-14 22:16:46","1","820","603","","0","1","true","","","10.212.11.75","","","","30066","5883","cluster-general-prod-bj02","5883","80","393216","1945","49","294912","0","6","0,1,8,10,48,50","98304","100","set","1","6","2018-12-26 12:08:36","2021-01-14 20:40:01","1","1370","0","0","1","0","0","0","0","0","1"
"9","29991","5850","cluster-general-prod-bj02","service-check=service-check-success","A01-R22-I15-100-BK28HP2.JCLOUD.COM","prod_bj02","","MD6-H-12","general_2","kvm,hyper","10.211.15.100","Enable","1","2018-12-26 11:52:38","2020-11-19 00:50:44","1","817","601","","0","1","true","","","10.212.15.100","","","","29991","5850","cluster-general-prod-bj02","5850","80","393216","1945","0","0","0","6","0,1,8,10,48,50","98304","100","set","1","0","2018-12-26 11:52:38","2020-12-03 19:39:00","1","8","0","0","1","0","0","0","0","0","1"
"10","29987","5845","cluster-general-prod-bj02","service-check=service-check-success","A01-R22-I15-101-1SGRXP2.JCLOUD.COM","prod_bj02","","MD6-H-12","general_2","kvm,hyper","10.211.15.101","Enable","1","2018-12-26 11:52:34","2020-11-19 00:50:44","1","817","601","","0","1","true","","","10.212.15.101","","","","29987","5845","cluster-general-prod-bj02","5845","80","393216","1945","0","0","0","6","0,1,8,10,48,50","98304","100","set","1","0","2018-12-26 11:52:34","2020-12-03 19:39:00","1","6","0","0","1","0","0","0","0","0","1"
